"Delete Waypoint","Eliminar Waypoint"
"Are you sure you want to do this?","¿Estás seguro de que deseas hacer esto?"
"Organizations","Organizaciones"
"New Organization","Nueva Organización"
"Edit Organization: %1","Editar Organización: %1"
"There was a problem creating the Organization in UBER","Hubo un problema al crear la Organización en Uber"
"The Organization has been saved.","La Organización ha sido guardada."
"There was a problem saving the Organization","Hubo un problema al guardar la Organización"
"Order ID parameter is required","Se requiere el parámetro ID de pedido"
"Shipment successfully canceled","Envío cancelado con éxito"
"<b>Uber Cancellation ERROR:</b> %1","<b>ERROR en Cancelación de Uber:</b> %1"
"Uber Shipping Cancel ERROR: %1","ERROR en Cancelación de Envío de Uber: %1"
"<b>Uber Cancellation ID</b>: %1","<b>ID de Cancelación de Uber:</b> %1"
"Shipment generated successfully","Envío generado con éxito"
"<b>Uber Shipping Create ERROR:</b> %1","<b>ERROR en Creación de Envío de Uber</b>: %1"
"Uber Shipping Create ERROR: %1","ERROR en Creación de Envío de Uber: %1"
"<b>Uber Shipping ID:</b> %1","<b>ID de Envío de Uber</b>: %1"
"Waypoints","Waypoints"
"New Waypoint","Nuevo Waypoint"
"Edit Waypoint: %1","Editar Waypoint: %1"
"The Waypoint has been saved.","El Waypoint ha sido guardado."
"There was a problem saving the Waypoint","Hubo un problema al guardar el Waypoint"
"The requested Order does not exist","La Orden solicitada no existe"
"This shipping method is not available. Please specify the zip code.","Este método de envío no está disponible. Por favor, especifica el código postal."
"This shipping method is not available","Este método de envío no está disponible"
"No estimates available for the address entered","No hay estimaciones disponibles para la dirección proporcionada"
"Uber Estimate ERROR: %1","Error de Estimación de Uber: %1"
"The cart contains items that cannot be shipped with Uber","El carrito contiene artículos que no se pueden enviar con Uber"
"-- Select --","-- Seleccionar --"
"-- Select Mode --","-- Seleccionar Modo --"
"Production","Producción"
"Sandbox","Prueba"
"-- Select Source --", "-- Seleccionar Deposito --"
"MSI","MSI"
"Signature","Firma"
"Barcodes","Códigos de barras"
"Pin Code","Código PIN"
"Identification","Identificación"
"Picture","Imagen"
"-- Select Billing --","-- Seleccione Facturación --"
"Centralized","Centralizado"
"Decentralized","Descentralizado"
"-- Select Merchant --","-- Seleccionar Rubro --"
"Restaurant","Restaurante"
"Grocery","Tienda de comestibles"
"Liquor","Tienda de Bebidas Alcohólicas"
